i,05/16/2017 22:36:27,Cosmos,g_pCosmosConfig is NULL,SrcFile="csthreadpoolex.cpp" SrcFunc="CsDefaultThreadPoolEx_CreateCb" SrcLine="1652" Pid="6316" Tid="8628" TS="0x01D2CE8417E8DE14" String1="Using default value 100 for param DefaultThreadPoolTimerQueueDepthLogThreshold"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="17620" TS="0x01D2CE8418185B08" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405882419976 FinishedAt=131394405882419976"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="10844" TS="0x01D2CE84181AB93C" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405882575164 FinishedAt=131394405882575164"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="18040" TS="0x01D2CE84181D16A6" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405882730150 FinishedAt=131394405882730150"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="17620" TS="0x01D2CE84181F4E20" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405882875424 FinishedAt=131394405882875424"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="10844" TS="0x01D2CE84182184BE" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405883020478 FinishedAt=131394405883020478"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="18040" TS="0x01D2CE841823CEA0" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405883170464 FinishedAt=131394405883170464"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="17620" TS="0x01D2CE8418261900" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405883320576 FinishedAt=131394405883320576"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="10844" TS="0x01D2CE8418285075" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405883465845 FinishedAt=131394405883465845"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="18040" TS="0x01D2CE84182A9A23" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405883615779 FinishedAt=131394405883615779"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="17620" TS="0x01D2CE84182CF807" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405883770887 FinishedAt=131394405883770887"
