i,05/16/2017 22:33:55,Cosmos,g_pCosmosConfig is NULL,SrcFile="csthreadpoolex.cpp" SrcFunc="CsDefaultThreadPoolEx_CreateCb" SrcLine="1652" Pid="8424" Tid="6204" TS="0x01D2CE83BCC2A507" String1="Using default value 100 for param DefaultThreadPoolTimerQueueDepthLogThreshold"
d,05/16/2017 22:33:59,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="13360" TS="0x01D2CE83BF94D1B2" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C04E0 Latency=0 StartedAt=131394404397404594 FinishedAt=131394404397404594"
d,05/16/2017 22:34:00,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="15180" TS="0x01D2CE83BFC6D3BD" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0240 Latency=0 StartedAt=131394404400681917 FinishedAt=131394404400681917"
d,05/16/2017 22:34:00,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="14368" TS="0x01D2CE83BFF97182" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0DE0 Latency=0 StartedAt=131394404403999106 FinishedAt=131394404403999106"
d,05/16/2017 22:34:00,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="13360" TS="0x01D2CE83C016D66D" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C05A0 Latency=0 StartedAt=131394404405925485 FinishedAt=131394404405925485"
d,05/16/2017 22:34:00,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="15180" TS="0x01D2CE83C02C0FF7" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0660 Latency=0 StartedAt=131394404407316471 FinishedAt=131394404407316471"
d,05/16/2017 22:34:00,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="14368" TS="0x01D2CE83C04A8680" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0EA0 Latency=0 StartedAt=131394404409312896 FinishedAt=131394404409312896"
d,05/16/2017 22:34:01,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="13360" TS="0x01D2CE83C05E120B" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0A80 Latency=0 StartedAt=131394404410593803 FinishedAt=131394404410593803"
d,05/16/2017 22:34:01,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="15180" TS="0x01D2CE83C0902880" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0240 Latency=0 StartedAt=131394404413876352 FinishedAt=131394404413876352"
d,05/16/2017 22:34:01,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="14368" TS="0x01D2CE83C0AD03CF" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0C60 Latency=0 StartedAt=131394404415767503 FinishedAt=131394404415767503"
d,05/16/2017 22:34:01,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="13360" TS="0x01D2CE83C0C4131B" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0E40 Latency=0 StartedAt=131394404417278747 FinishedAt=131394404417278747"
